Linux 4.9.253-tegra (nano-desktop) 	08/17/2023 	_aarch64_	(4 CPU)

01:14:27 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:14:28 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:14:29 AM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
01:14:30 AM     all     25.06      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.19
01:14:31 AM     all     25.00      0.00      0.50      0.00      0.00      0.75      0.00      0.00      0.00     73.75
01:14:32 AM     all     24.94      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.31
01:14:33 AM     all     25.19      0.00      0.75      0.00      0.00      0.50      0.00      0.00      0.00     73.57
01:14:34 AM     all     22.69      0.00      5.74      0.00      0.00      0.75      0.25      0.00      0.00     70.57
01:14:35 AM     all     25.06      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     73.93
01:14:36 AM     all     25.13      0.00      0.25      0.00      0.00      0.25      0.25      0.00      0.00     74.12
01:14:37 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:14:38 AM     all     25.19      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.06
01:14:39 AM     all     23.12      0.00      5.28      0.00      0.00      0.50      0.25      0.00      0.00     70.85
01:14:40 AM     all     18.66      0.00     11.94      0.25      0.00      0.50      0.25      0.00      0.00     68.41
01:14:41 AM     all     23.44      0.00     75.31      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:14:42 AM     all     24.06      0.00     74.94      0.00      0.00      0.75      0.25      0.00      0.00      0.00
01:14:43 AM     all     23.00      0.00     75.50      0.25      0.00      0.75      0.50      0.00      0.00      0.00
01:14:44 AM     all     22.25      0.00     76.75      0.00      0.00      0.75      0.25      0.00      0.00      0.00
01:14:45 AM     all     25.50      0.00     73.25      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:14:46 AM     all     24.81      0.00     74.19      0.00      0.00      0.50      0.50      0.00      0.00      0.00
01:14:47 AM     all     23.50      0.00     75.50      0.00      0.00      0.75      0.25      0.00      0.00      0.00
01:14:48 AM     all     23.25      0.00     75.25      0.00      0.00      0.75      0.50      0.00      0.00      0.25
01:14:49 AM     all     23.00      0.00     75.75      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:14:50 AM     all     23.06      0.00     75.94      0.00      0.00      0.75      0.25      0.00      0.00      0.00
01:14:51 AM     all     18.86      0.00     79.90      0.00      0.00      0.74      0.50      0.00      0.00      0.00
01:14:52 AM     all     23.38      0.00     75.12      0.25      0.00      0.75      0.50      0.00      0.00      0.00
01:14:53 AM     all     25.56      0.00     73.18      0.25      0.00      0.75      0.25      0.00      0.00      0.00
01:14:54 AM     all     21.30      0.00     77.69      0.00      0.00      0.50      0.50      0.00      0.00      0.00
01:14:55 AM     all     25.25      0.00     73.50      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:14:56 AM     all     22.69      0.00     76.06      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:14:57 AM     all     24.00      0.00     74.75      0.00      0.00      1.00      0.25      0.00      0.00      0.00
01:14:58 AM     all     22.94      0.00     75.31      0.25      0.00      0.75      0.50      0.00      0.00      0.25
01:14:59 AM     all     25.81      0.00     73.18      0.00      0.00      0.75      0.25      0.00      0.00      0.00
01:15:00 AM     all     19.80      0.00     78.95      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:15:01 AM     all     24.44      0.00     74.31      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:15:02 AM     all     25.00      0.00     73.75      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:15:03 AM     all     25.56      0.00     73.18      0.25      0.00      0.75      0.25      0.00      0.00      0.00
01:15:04 AM     all     26.25      0.00     72.50      0.00      0.00      0.75      0.50      0.00      0.00      0.00
01:15:05 AM     all     23.63      0.00     74.88      0.00      0.00      1.00      0.50      0.00      0.00      0.00
01:15:06 AM     all     25.69      0.00     73.55      0.00      0.00      0.50      0.25      0.00      0.00      0.00
01:15:07 AM     all     23.38      0.00     75.12      0.00      0.00      0.75      0.50      0.00      0.00      0.25
01:15:08 AM     all     23.94      0.00     74.56      0.25      0.00      0.75      0.50      0.00      0.00      0.00
01:15:09 AM     all     22.61      0.00     76.38      0.00      0.00      0.75      0.25      0.00      0.00      0.00
01:15:10 AM     all     24.00      0.00     73.25      0.00      0.00      0.50      0.50      0.00      0.00      1.75
01:15:11 AM     all     25.06      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.93
01:15:12 AM     all     24.62      0.00      0.50      0.00      0.00      0.50      0.00      0.00      0.00     74.37
01:15:13 AM     all     25.06      0.00      0.25      0.00      0.00      0.50      0.25      0.00      0.00     73.93
01:15:14 AM     all     25.06      0.00      0.75      0.00      0.00      0.25      0.00      0.00      0.00     73.93
01:15:15 AM     all     24.94      0.00      0.50      0.00      0.00      0.50      0.25      0.00      0.00     73.82
01:15:16 AM     all     25.13      0.00      0.25      0.00      0.00      0.50      0.00      0.00      0.00     74.12
01:15:17 AM     all     24.94      0.00      0.25      0.00      0.00      0.25      0.00      0.00      0.00     74.56
01:15:18 AM     all     21.55      0.00      1.00      0.25      0.00      0.50      0.25      0.00      0.00     76.44
