Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

11:51:36 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:51:37 PM     all      9.60      0.00     17.68      0.00      0.00      0.76      0.51      0.00      0.00     71.46
11:51:38 PM     all     12.85      0.00      2.02      0.00      0.00      0.50      0.50      0.00      0.00     84.13
11:51:39 PM     all     12.78      0.00      2.26      0.00      0.00      0.75      0.50      0.00      0.00     83.71
11:51:40 PM     all     13.35      0.00      2.52      0.00      0.00      0.76      0.50      0.00      0.00     82.87
11:51:41 PM     all     14.57      0.00      2.01      0.00      0.00      0.75      0.25      0.00      0.00     82.41
11:51:42 PM     all     14.39      0.00      2.98      0.25      0.00      0.74      0.50      0.00      0.00     81.14
11:51:43 PM     all     13.75      0.00      2.75      0.00      0.00      0.75      0.50      0.00      0.00     82.25
11:51:44 PM     all     14.74      0.00      2.95      0.00      0.00      0.74      0.49      0.00      0.00     81.08
11:51:45 PM     all     12.78      0.00      1.75      0.00      0.00      0.75      0.50      0.00      0.00     84.21
11:51:46 PM     all     14.14      0.00      2.02      0.00      0.00      0.51      0.51      0.00      0.00     82.83
11:51:47 PM     all     14.32      0.00      2.01      0.00      0.00      0.75      0.25      0.00      0.00     82.66
11:51:48 PM     all     15.02      0.00      3.20      0.00      0.00      0.74      0.49      0.00      0.00     80.54
11:51:49 PM     all     13.50      0.00      3.00      0.00      0.00      0.75      0.50      0.00      0.00     82.25
11:51:50 PM     all     14.32      0.00      1.76      0.00      0.00      0.75      0.50      0.00      0.00     82.66
11:51:51 PM     all     14.50      0.00      2.25      0.00      0.00      0.75      0.25      0.00      0.00     82.25
11:51:52 PM     all     13.82      0.00      2.01      0.00      0.00      0.75      0.50      0.00      0.00     82.91
11:51:53 PM     all     14.11      0.00      3.22      0.00      0.00      0.74      0.50      0.00      0.00     81.44
11:51:54 PM     all     14.85      0.00      2.23      0.00      0.00      0.74      0.50      0.00      0.00     81.68
11:51:55 PM     all     12.07      0.00      2.96      0.00      0.00      0.49      0.49      0.00      0.00     83.99
11:51:56 PM     all     13.97      0.00      2.74      0.00      0.00      0.75      0.25      0.00      0.00     82.29
11:51:57 PM     all     13.97      0.00      4.17      0.00      0.00      0.74      0.49      0.00      0.00     80.64
11:51:58 PM     all     13.61      0.00      2.72      0.00      0.00      0.74      0.50      0.00      0.00     82.43
11:51:59 PM     all     14.39      0.00      2.73      0.00      0.00      0.74      0.50      0.00      0.00     81.64
11:52:00 PM     all     14.53      0.00      3.45      0.00      0.00      0.74      0.49      0.00      0.00     80.79
11:52:01 PM     all     14.29      0.00      3.45      0.00      0.00      0.74      0.25      0.00      0.00     81.28
11:52:02 PM     all     14.04      0.00      2.96      0.25      0.00      0.74      0.49      0.00      0.00     81.53
11:52:03 PM     all     13.25      0.00      2.75      0.00      0.00      0.75      0.50      0.00      0.00     82.75
11:52:04 PM     all     13.86      0.00      3.22      0.00      0.00      0.74      0.50      0.00      0.00     81.68
11:52:05 PM     all     14.53      0.00      3.20      0.00      0.00      0.74      0.49      0.00      0.00     81.03
11:52:06 PM     all     52.00      0.00      8.00      0.00      0.00      0.75      0.75      0.00      0.00     38.50
