Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

10:55:38 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
10:55:39 PM     all     10.86      0.00     17.17      0.00      0.00      0.51      0.51      0.00      0.00     70.96
10:55:40 PM     all     13.78      0.00      1.50      0.00      0.00      0.75      0.50      0.00      0.00     83.46
10:55:41 PM     all     13.97      0.00      2.00      0.25      0.00      0.50      0.50      0.00      0.00     82.79
10:55:42 PM     all     14.43      0.00      1.27      0.00      0.00      0.76      0.51      0.00      0.00     83.04
10:55:43 PM     all     13.89      0.00      2.02      0.00      0.00      0.76      0.25      0.00      0.00     83.08
10:55:44 PM     all     15.71      0.00      1.00      0.00      0.00      0.75      0.50      0.00      0.00     82.04
10:55:45 PM     all     14.75      0.00      1.75      0.00      0.00      0.75      0.50      0.00      0.00     82.25
10:55:46 PM     all     13.25      0.00      1.50      0.00      0.00      0.75      0.50      0.00      0.00     84.00
10:55:47 PM     all     13.92      0.00      1.52      0.00      0.00      0.76      0.51      0.00      0.00     83.29
10:55:48 PM     all     14.14      0.00      1.52      0.00      0.00      0.76      0.25      0.00      0.00     83.33
10:55:49 PM     all     15.11      0.00      0.76      0.00      0.00      0.76      0.50      0.00      0.00     82.87
10:55:50 PM     all     14.68      0.00      1.01      0.00      0.00      0.76      0.51      0.00      0.00     83.04
10:55:51 PM     all     14.47      0.00      0.51      0.00      0.00      0.76      0.51      0.00      0.00     83.76
10:55:52 PM     all     14.39      0.00      1.26      0.00      0.00      0.51      0.51      0.00      0.00     83.33
10:55:53 PM     all     12.09      0.00      1.26      0.00      0.00      0.76      0.25      0.00      0.00     85.64
10:55:54 PM     all     14.11      0.00      1.76      0.00      0.00      0.76      0.50      0.00      0.00     82.87
10:55:55 PM     all     14.75      0.00      1.75      0.00      0.00      0.75      0.50      0.00      0.00     82.25
10:55:56 PM     all     13.90      0.00      2.98      0.25      0.00      0.74      0.50      0.00      0.00     81.64
10:55:57 PM     all     14.36      0.00      1.51      0.00      0.00      0.76      0.50      0.00      0.00     82.87
10:55:58 PM     all     13.85      0.00      2.02      0.00      0.00      0.76      0.25      0.00      0.00     83.12
