Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

11:29:11 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:29:12 PM     all     10.00      0.00     17.50      0.00      0.00      0.75      0.50      0.00      0.00     71.25
11:29:13 PM     all     13.32      0.00      2.01      0.00      0.00      0.75      0.50      0.00      0.00     83.42
11:29:14 PM     all     15.50      0.00      1.25      0.00      0.00      0.50      0.50      0.00      0.00     82.25
11:29:15 PM     all     15.50      0.00      1.00      0.00      0.00      1.00      0.50      0.00      0.00     82.00
11:29:16 PM     all     13.82      0.00      1.76      0.25      0.00      0.50      0.25      0.00      0.00     83.42
11:29:17 PM     all     14.75      0.00      1.50      0.00      0.00      0.75      0.50      0.00      0.00     82.50
11:29:18 PM     all     13.89      0.00      1.52      0.00      0.00      0.76      0.51      0.00      0.00     83.33
11:29:19 PM     all     14.43      0.00      1.52      0.00      0.00      0.76      0.51      0.00      0.00     82.78
11:29:20 PM     all     15.46      0.00      1.50      0.00      0.00      0.75      0.25      0.00      0.00     82.04
11:29:21 PM     all     14.21      0.00      1.27      0.00      0.00      0.76      0.51      0.00      0.00     83.25
11:29:22 PM     all     14.65      0.00      1.01      0.00      0.00      0.76      0.51      0.00      0.00     83.08
11:29:23 PM     all     14.14      0.00      1.52      0.00      0.00      0.76      0.51      0.00      0.00     83.08
11:29:24 PM     all     14.07      0.00      1.76      0.00      0.00      0.75      0.50      0.00      0.00     82.91
11:29:25 PM     all     14.36      0.00      1.26      0.00      0.00      0.76      0.25      0.00      0.00     83.38
11:29:26 PM     all     15.33      0.00      1.01      0.00      0.00      0.75      0.50      0.00      0.00     82.41
11:29:27 PM     all     14.07      0.00      1.51      0.00      0.00      0.50      0.50      0.00      0.00     83.42
11:29:28 PM     all     14.75      0.00      1.25      0.00      0.00      0.75      0.50      0.00      0.00     82.75
11:29:29 PM     all     14.90      0.00      1.26      0.00      0.00      0.76      0.51      0.00      0.00     82.58
11:29:30 PM     all     14.65      0.00      1.26      0.00      0.00      0.76      0.25      0.00      0.00     83.08
11:29:31 PM     all     13.72      0.00      2.00      0.00      0.00      0.75      0.50      0.00      0.00     83.04
11:29:32 PM     all     14.39      0.00      1.26      0.00      0.00      0.76      0.51      0.00      0.00     83.08
11:29:33 PM     all     14.68      0.00      0.76      0.00      0.00      0.76      0.51      0.00      0.00     83.29
11:29:34 PM     all     14.11      0.00      1.01      0.00      0.00      0.76      0.50      0.00      0.00     83.63
11:29:35 PM     all     15.04      0.00      1.50      0.00      0.00      0.75      0.25      0.00      0.00     82.46
11:29:36 PM     all     15.00      0.00      1.25      0.25      0.00      0.75      0.50      0.00      0.00     82.25
