Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

11:06:51 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:06:52 PM     all      9.90      0.00     17.51      0.00      0.00      0.76      0.51      0.00      0.00     71.32
11:06:53 PM     all     12.25      0.00      2.75      0.00      0.00      0.50      0.50      0.00      0.00     84.00
11:06:54 PM     all     11.34      0.00      1.01      0.00      0.00      0.76      0.25      0.00      0.00     86.65
11:06:55 PM     all     14.50      0.00      1.50      0.00      0.00      0.75      0.50      0.00      0.00     82.75
11:06:56 PM     all     14.11      0.00      1.51      0.00      0.00      0.76      0.50      0.00      0.00     83.12
11:06:57 PM     all     14.93      0.00      2.24      0.00      0.00      0.75      0.25      0.00      0.00     81.84
11:06:58 PM     all     15.08      0.00      1.26      0.00      0.00      0.75      0.50      0.00      0.00     82.41
11:06:59 PM     all     14.82      0.00      1.51      0.00      0.00      0.75      0.50      0.00      0.00     82.41
11:07:00 PM     all     14.82      0.00      2.26      0.00      0.00      0.75      0.50      0.00      0.00     81.66
11:07:01 PM     all     13.53      0.00      1.75      0.25      0.00      0.50      0.50      0.00      0.00     83.46
11:07:02 PM     all     14.61      0.00      1.51      0.00      0.00      0.76      0.50      0.00      0.00     82.62
11:07:03 PM     all     13.67      0.00      0.76      0.00      0.00      0.76      0.51      0.00      0.00     84.30
11:07:04 PM     all     14.96      0.00      2.00      0.00      0.00      0.75      0.50      0.00      0.00     81.80
11:07:05 PM     all     15.00      0.00      1.25      0.00      0.00      0.75      0.50      0.00      0.00     82.50
11:07:06 PM     all     14.93      0.00      2.24      0.00      0.00      0.75      0.25      0.00      0.00     81.84
11:07:07 PM     all     14.68      0.00      0.76      0.00      0.00      0.76      0.51      0.00      0.00     83.29
11:07:08 PM     all     14.39      0.00      1.26      0.00      0.00      0.76      0.51      0.00      0.00     83.08
11:07:09 PM     all     14.79      0.00      1.50      0.00      0.00      0.75      0.50      0.00      0.00     82.46
11:07:10 PM     all     14.57      0.00      1.51      0.00      0.00      0.75      0.25      0.00      0.00     82.91
11:07:11 PM     all     13.89      0.00      1.77      0.00      0.00      0.76      0.51      0.00      0.00     83.08
11:07:12 PM     all     13.99      0.00      1.27      0.00      0.00      0.76      0.51      0.00      0.00     83.46
11:07:13 PM     all     14.57      0.00      1.51      0.00      0.00      0.50      0.50      0.00      0.00     82.91
11:07:14 PM     all     14.61      0.00      1.26      0.00      0.00      0.76      0.25      0.00      0.00     83.12
11:07:15 PM     all     13.53      0.00      1.50      0.00      0.00      0.75      0.50      0.00      0.00     83.71
11:07:16 PM     all     13.97      0.00      1.50      0.25      0.00      0.75      0.50      0.00      0.00     83.04
11:07:17 PM     all     14.00      0.00      2.00      0.00      0.00      0.75      0.50      0.00      0.00     82.75
11:07:18 PM     all     13.85      0.00      1.26      0.00      0.00      0.76      0.25      0.00      0.00     83.88
11:07:19 PM     all     13.82      0.00      1.51      0.00      0.00      0.50      0.50      0.00      0.00     83.67
11:07:20 PM     all     13.13      0.00      1.77      0.00      0.00      0.76      0.51      0.00      0.00     83.84
11:07:21 PM     all     62.16      0.00     10.78      0.00      0.00      1.25      0.50      0.00      0.00     25.31
11:07:22 PM     all     91.50      0.00      6.50      0.00      0.00      1.25      0.75      0.00      0.00      0.00
11:07:23 PM     all     94.74      0.00      3.51      0.00      0.00      1.25      0.50      0.00      0.00      0.00
11:07:24 PM     all     94.03      0.00      3.73      0.00      0.00      1.49      0.75      0.00      0.00      0.00
11:07:25 PM     all     95.00      0.00      3.00      0.00      0.00      1.25      0.75      0.00      0.00      0.00
11:07:26 PM     all     94.24      0.00      3.51      0.00      0.00      1.50      0.75      0.00      0.00      0.00
11:07:27 PM     all     94.04      0.00      3.72      0.00      0.00      1.49      0.74      0.00      0.00      0.00
11:07:28 PM     all     93.98      0.00      3.76      0.00      0.00      1.50      0.75      0.00      0.00      0.00
11:07:29 PM     all     94.79      0.00      3.23      0.00      0.00      1.24      0.74      0.00      0.00      0.00
11:07:30 PM     all     94.75      0.00      3.00      0.00      0.00      1.50      0.75      0.00      0.00      0.00
11:07:31 PM     all     95.25      0.00      2.75      0.00      0.00      1.25      0.75      0.00      0.00      0.00
11:07:32 PM     all     94.76      0.00      3.24      0.00      0.00      1.50      0.50      0.00      0.00      0.00
11:07:33 PM     all     94.50      0.00      3.25      0.00      0.00      1.25      1.00      0.00      0.00      0.00
11:07:34 PM     all     95.00      0.00      3.00      0.00      0.00      1.50      0.50      0.00      0.00      0.00
11:07:35 PM     all     94.76      0.00      2.74      0.00      0.00      1.50      1.00      0.00      0.00      0.00
11:07:36 PM     all     94.75      0.00      3.25      0.00      0.00      1.25      0.75      0.00      0.00      0.00
11:07:37 PM     all     95.01      0.00      2.74      0.00      0.00      1.50      0.75      0.00      0.00      0.00
11:07:38 PM     all     94.25      0.00      3.50      0.00      0.00      1.50      0.75      0.00      0.00      0.00
11:07:39 PM     all     94.04      0.00      3.97      0.00      0.00      1.24      0.74      0.00      0.00      0.00
11:07:40 PM     all     94.50      0.00      3.25      0.00      0.00      1.50      0.75      0.00      0.00      0.00
