Linux 4.9.253-tegra (nano-desktop) 	08/16/2023 	_aarch64_	(4 CPU)

11:40:24 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:40:25 PM     all      7.56      0.00     16.12      0.00      0.00      0.50      0.50      0.00      0.00     75.31
11:40:26 PM     all     14.46      0.00      1.50      0.00      0.00      0.50      0.50      0.00      0.00     83.04
11:40:27 PM     all     14.96      0.00      2.99      0.00      0.00      0.75      0.50      0.00      0.00     80.80
11:40:28 PM     all     14.50      0.00      2.00      0.00      0.00      0.75      0.50      0.00      0.00     82.25
11:40:29 PM     all     14.25      0.00      1.50      0.25      0.00      0.75      0.50      0.00      0.00     82.75
11:40:30 PM     all     15.54      0.00      1.00      0.00      0.00      0.75      0.25      0.00      0.00     82.46
11:40:31 PM     all     13.25      0.00      2.00      0.00      0.00      0.75      0.50      0.00      0.00     83.50
11:40:32 PM     all     14.61      0.00      1.26      0.00      0.00      0.76      0.50      0.00      0.00     82.87
11:40:33 PM     all     13.93      0.00      2.24      0.00      0.00      0.75      0.50      0.00      0.00     82.59
11:40:34 PM     all     13.16      0.00      1.77      0.00      0.00      0.51      0.25      0.00      0.00     84.30
11:40:35 PM     all     13.82      0.00      2.26      0.00      0.00      0.75      0.50      0.00      0.00     82.66
11:40:36 PM     all     14.03      0.00      0.77      0.00      0.00      0.77      0.51      0.00      0.00     83.93
11:40:37 PM     all     14.65      0.00      0.76      0.00      0.00      0.76      0.51      0.00      0.00     83.33
11:40:38 PM     all     13.92      0.00      1.27      0.00      0.00      0.76      0.51      0.00      0.00     83.54
11:40:39 PM     all     14.39      0.00      1.26      0.25      0.00      0.76      0.25      0.00      0.00     83.08
11:40:40 PM     all     14.11      0.00      1.51      0.00      0.00      0.76      0.50      0.00      0.00     83.12
11:40:41 PM     all     14.57      0.00      1.51      0.00      0.00      0.75      0.50      0.00      0.00     82.66
11:40:42 PM     all     15.25      0.00      1.25      0.00      0.00      0.50      0.50      0.00      0.00     82.50
11:40:43 PM     all     14.39      0.00      1.01      0.00      0.00      1.01      0.51      0.00      0.00     83.08
11:40:44 PM     all     14.57      0.00      1.76      0.00      0.00      0.50      0.50      0.00      0.00     82.66
11:40:45 PM     all     13.45      0.00      1.02      0.00      0.00      0.76      0.25      0.00      0.00     84.52
11:40:46 PM     all     12.53      0.00      1.25      0.00      0.00      0.75      0.50      0.00      0.00     84.96
